2017-08-11 12:05:26,258 [98] INFO  BLL.OpenWx.opencomponentconfigBLL - TokenTime0001-01-01 00:00:00
2017-08-11 12:05:26,289 [98] INFO  BLL.OpenWx.opencomponentconfigBLL - 刷新实体：{"id":1,"component_Appid":"wx9a6ab00a752e10e8","component_AppSecret":"xLOaugBS9Ir692bLLA6cnps5l0UGSsK4cvzCOJ1tOT5","component_Token":"PengXun","component_EncodingAESKey":"xLOaugBS9Ir692bLLA6cnps5l0UGSsK4cvzCOJ1tOT5","component_verify_ticket":"ticket@@@RqV5YbaPqqe04nBWbOmOeXx_cnRyBM-nDMmnYxIP4x0VIWtqmVzFbBNtuWX8OKgm2A22tbv0Mxk0QeglxmDBtg","component_access_token":"","ticket_time":"\/Date(1502423809000)\/","token_time":"\/Date(-62135596800000)\/"}
2017-08-11 12:07:25,879 [68] INFO  BLL.OpenWx.opencomponentconfigBLL - TokenTime0001-01-01 08:00:00
2017-08-11 12:07:25,879 [68] INFO  BLL.OpenWx.opencomponentconfigBLL - 刷新实体：{"id":1,"component_Appid":"wx9a6ab00a752e10e8","component_AppSecret":"xLOaugBS9Ir692bLLA6cnps5l0UGSsK4cvzCOJ1tOT5","component_Token":"PengXun","component_EncodingAESKey":"xLOaugBS9Ir692bLLA6cnps5l0UGSsK4cvzCOJ1tOT5","component_verify_ticket":"ticket@@@RqV5YbaPqqe04nBWbOmOeXx_cnRyBM-nDMmnYxIP4x0VIWtqmVzFbBNtuWX8OKgm2A22tbv0Mxk0QeglxmDBtg","component_access_token":"","ticket_time":"\/Date(1502423809000)\/","token_time":"\/Date(-62135596800000)\/"}
2017-08-11 12:24:28,613 [50] INFO  BLL.OpenWx.opencomponentconfigBLL - TokenTime0001-01-01 08:00:00
2017-08-11 12:24:28,657 [50] INFO  BLL.OpenWx.opencomponentconfigBLL - 刷新实体：{"id":1,"component_Appid":"wx9a6ab00a752e10e8","component_AppSecret":"xLOaugBS9Ir692bLLA6cnps5l0UGSsK4cvzCOJ1tOT5","component_Token":"PengXun","component_EncodingAESKey":"xLOaugBS9Ir692bLLA6cnps5l0UGSsK4cvzCOJ1tOT5","component_verify_ticket":"ticket@@@RqV5YbaPqqe04nBWbOmOeXx_cnRyBM-nDMmnYxIP4x0VIWtqmVzFbBNtuWX8OKgm2A22tbv0Mxk0QeglxmDBtg","component_access_token":"","ticket_time":"\/Date(1502423809000)\/","token_time":"\/Date(-62135596800000)\/"}
2017-08-11 12:29:47,389 [92] INFO  BLL.OpenWx.opencomponentconfigBLL - TokenTime0001-01-01 08:00:00
2017-08-11 12:29:47,436 [92] INFO  BLL.OpenWx.opencomponentconfigBLL - 刷新实体：{"id":1,"component_Appid":"wx9a6ab00a752e10e8","component_AppSecret":"xLOaugBS9Ir692bLLA6cnps5l0UGSsK4cvzCOJ1tOT5","component_Token":"PengXun","component_EncodingAESKey":"xLOaugBS9Ir692bLLA6cnps5l0UGSsK4cvzCOJ1tOT5","component_verify_ticket":"ticket@@@RqV5YbaPqqe04nBWbOmOeXx_cnRyBM-nDMmnYxIP4x0VIWtqmVzFbBNtuWX8OKgm2A22tbv0Mxk0QeglxmDBtg","component_access_token":"","ticket_time":"\/Date(1502423809000)\/","token_time":"\/Date(-62135596800000)\/"}
2017-08-11 12:29:47,436 [92] INFO  BLL.OpenWx.opencomponentconfigBLL - 没有接收到ticket_time2017-08-11 11:56:49
2017-08-11 14:19:32,233 [5] INFO  BLL.OpenWx.opencomponentconfigBLL - TokenTime0001-01-01 00:00:00
2017-08-11 14:19:32,279 [5] INFO  BLL.OpenWx.opencomponentconfigBLL - 刷新实体：{"id":1,"component_Appid":"wx9a6ab00a752e10e8","component_AppSecret":"xLOaugBS9Ir692bLLA6cnps5l0UGSsK4cvzCOJ1tOT5","component_Token":"PengXun","component_EncodingAESKey":"xLOaugBS9Ir692bLLA6cnps5l0UGSsK4cvzCOJ1tOT5","component_verify_ticket":"ticket@@@RqV5YbaPqqe04nBWbOmOeXx_cnRyBM-nDMmnYxIP4x0VIWtqmVzFbBNtuWX8OKgm2A22tbv0Mxk0QeglxmDBtg","component_access_token":"","ticket_time":"\/Date(1502423809000)\/","token_time":"\/Date(-62135596800000)\/"}
2017-08-11 14:19:32,279 [5] INFO  BLL.OpenWx.opencomponentconfigBLL - 没有接收到ticket_time2017-08-11 11:56:49
